Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-99256,227,237,10.074865,10.26,-18375.759559999893,-0.01837592861045767,2021-02-18 11:00:00,2021-02-19 13:30:00,1 days 02:30:00
-90027,245,329,10.90362,10.13,69646.68773999994,0.07095074846702276,2021-02-22 13:30:00,2021-03-09 10:00:00,14 days 20:30:00
103622,329,343,10.145195000000001,9.8,-35769.796290000035,-0.03402546722857469,2021-03-09 10:00:00,2021-03-10 14:30:00,1 days 04:30:00
-102626,352,356,9.895135,10.01,-11788.135489999999,-0.011608229700756922,2021-03-12 09:30:00,2021-03-12 13:00:00,0 days 03:30:00
-100421,356,360,9.994985,10.07,-7533.08131500005,-0.007505263889840741,2021-03-12 13:00:00,2021-03-15 09:30:00,2 days 20:30:00
-99469,379,466,10.014955,9.45,56195.50889500012,0.056411137144400714,2021-03-17 11:00:00,2021-04-01 10:30:00,14 days 23:30:00
-111529,466,468,9.435825,9.52,-9387.953575000012,-0.008920788590292883,2021-04-01 10:30:00,2021-04-01 13:00:00,0 days 02:30:00
-108243,483,495,9.635525000000001,9.7,-6978.967424999791,-0.006691384226598762,2021-04-06 11:00:00,2021-04-07 14:30:00,1 days 03:30:00
106316,505,519,9.744595,9.44,-32383.32202000009,-0.03125784088512662,2021-04-09 10:00:00,2021-04-12 14:30:00,3 days 04:30:00
-103515,554,556,9.695435000000002,9.75,-5648.295974999836,-0.005627906329112475,2021-04-19 10:30:00,2021-04-19 13:00:00,0 days 02:30:00
103584,575,584,9.63443,9.56,-7709.757119999954,-0.007725418109841398,2021-04-21 14:30:00,2021-04-23 09:30:00,1 days 19:00:00
102570,589,592,9.65446,9.57,-8663.062199999998,-0.008748288355847955,2021-04-23 13:30:00,2021-04-26 09:30:00,2 days 20:00:00
100836,592,600,9.734580000000001,9.54,-19620.668880000198,-0.0199885357149463,2021-04-26 09:30:00,2021-04-27 09:30:00,1 days 00:00:00
-104041,644,645,9.24611,9.24,635.69050999996,0.0006608184414851337,2021-05-07 13:00:00,2021-05-07 13:30:00,0 days 00:30:00
-104336,645,650,9.226140000000001,9.31,-8749.616959999958,-0.0090893916632524,2021-05-07 13:30:00,2021-05-10 10:30:00,2 days 21:00:00
-100136,656,672,9.525689999999999,9.44,8580.653839999959,0.008995673804207294,2021-05-11 09:30:00,2021-05-13 09:30:00,2 days 00:00:00
101801,672,677,9.45416,9.36,-9585.582160000047,-0.00995963681596257,2021-05-13 09:30:00,2021-05-13 13:30:00,0 days 04:00:00
102305,696,705,9.313950000000002,9.9,59955.84524999984,0.06292174641263881,2021-05-18 09:30:00,2021-05-19 10:00:00,1 days 00:30:00
94074,748,751,10.766125,10.63,-12805.823249999983,-0.012643824960234085,2021-05-26 13:00:00,2021-05-26 14:30:00,0 days 01:30:00
94022,753,759,10.63593,11.2,53034.98953999992,0.05303438439327812,2021-05-27 10:00:00,2021-05-27 14:30:00,0 days 04:30:00
